Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
5072,,,4122011946,0,12/07/2022,745.5,2103,Keya Italian Pizza Origano 80 Gm,97.34,6.0%,5.83,6.0%,5.83,-,-,-,-,-,-,27,PC,1,109.0,Cash
5073,,,4122011946,0,12/07/2022,745.5,2103,Veeba Whit Pasta Dresing 285 gm,88.4,6.0%,5.3,6.0%,5.3,-,-,-,-,-,-,27,PC,1,99.0,Cash
5074,,,4122011946,0,12/07/2022,745.5,,Uraj White Eggs 6N,52,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,52.0,Cash
5075,,,4122011947,0,12/07/2022,272,2103,Real Thai Sriracha Mild Chilli Sauce 240 Gm,160.72,6.0%,9.64,6.0%,9.64,-,-,-,-,-,-,27,PC,1,180.0,Cash
5076,,,4122011947,0,12/07/2022,272,7606,Fresh Wrapp Super Aluminium Foil18Mts,77.98,9.0%,7.01,9.0%,7.01,-,-,-,-,-,-,27,PC,1,92.0,Cash
5077,,,4122011948,0,12/07/2022,457,220210,Sprite Soft Drink Bt 750Ml,28.6,14.0%,3.99,14.0%,3.99,-,-,12.0%,3.42,-,-,27,PC,1,40.0,Cash
5078,,,4122011948,0,12/07/2022,457,210690,Kettle Himalayan Pink Salt,88.4,6.0%,5.3,6.0%,5.3,-,-,-,-,-,-,27,PC,1,99.0,Cash
5079,,,4122011948,0,12/07/2022,457,210690,Kettle Cheddar Onine,88.4,6.0%,5.3,6.0%,5.3,-,-,-,-,-,-,27,PC,1,99.0,Cash
5080,,,4122011948,0,12/07/2022,457,210690,Kettle Sharp Jalapenos & Cream Cheese,88.4,6.0%,5.3,6.0%,5.3,-,-,-,-,-,-,27,PC,1,99.0,Cash
5081,,,4122011948,0,12/07/2022,457,,Mr,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
5082,,,4122011949,0,12/07/2022,30,,Tong Garden Thai Chilli Coted Peanut 50 Gm,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
5083,,,4122011950,0,12/07/2022,187,,Shreenath Peeled Corn,25,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,25.0,Cash
5084,,,4122011950,0,12/07/2022,187,,Shreenath Mushrooms  ,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
5085,,,4122011950,0,12/07/2022,187,11010000,Pro Nature Sooji Rava (Whole wheat) 500gm,53.34,2.5%,1.33,2.5%,1.33,-,-,-,-,-,-,27,PC,1,56.0,Cash
5086,,,4122011950,0,12/07/2022,187,,onion,56,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,56.0,Cash
5087,,Dunzo,4122011951,0,12/07/2022,635,, Nongshim Shin Ramyun Noodle,424.12,6.0%,25.44,6.0%,25.44,-,-,-,-,-,-,27,PC,1,475.0,Cash
5088,,Dunzo,4122011951,0,12/07/2022,635,2103,Zorabian Seekh Kabab 250 Gm,142.86,6.0%,8.57,6.0%,8.57,-,-,-,-,-,-,27,PC,1,160.0,Cash
5089,,,4122011952,0,12/07/2022,279,,Maggi Veg Cubes 20 G,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,25.0,Cash
5090,,,4122011952,0,12/07/2022,279,,Udupi Sambar Masala,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
5091,,,4122011952,0,12/07/2022,279,,Shev Bhaji,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
5092,,,4122011952,0,12/07/2022,279,,Biryani Masala,25,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,25.0,Cash
5093,,,4122011952,0,12/07/2022,279,210690,Salsalito Tortilla Chips Chilli 50 G,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
5094,,,4122011952,0,12/07/2022,279,,Veeba Burger Mayonese,70.54,6.0%,4.23,6.0%,4.23,-,-,-,-,-,-,27,PC,1,79.0,Cash
5095,,,4122011952,0,12/07/2022,279,2106,Lite N Fit Tomato Stik,47.62,2.5%,1.19,2.5%,1.19,-,-,-,-,-,-,27,PC,1,50.0,Cash
5096,,,4122011953,0,12/07/2022,720,220210,Kinley 750Ml,16.96,9.0%,1.52,9.0%,1.52,-,-,-,-,-,-,27,PC,1,20.0,Cash
5097,,,4122011953,0,12/07/2022,720,,Mars Miniatures,680,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,4,170.0,Cash
5098,,,4122011953,0,12/07/2022,720,1806,Snickers Chocolate 25Gm,16.96,9.0%,1.52,9.0%,1.52,-,-,-,-,-,-,27,PC,1,20.0,Cash
5099,,,4122011954,0,12/07/2022,688,,Carry Bag,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5100,,,4122011954,0,12/07/2022,688,,Nongshim Red Super Spicy 120 Gm,194.66,6.0%,11.67,6.0%,11.67,-,-,-,-,-,-,27,PC,2,109.0,Cash
5101,,,4122011954,0,12/07/2022,688,,Kelloggs Special,440,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,440.0,Cash
5102,,,4122011955,0,12/07/2022,315,,Tong Garden Thai Chilli Coted Peanut 50 Gm,53.58,6.0%,3.21,6.0%,3.21,-,-,-,-,-,-,27,PC,2,30.0,Cash
5103,,,4122011955,0,12/07/2022,315,,Tong Garden Wasabi Green Peas 180 Gm,111.62,6.0%,6.69,6.0%,6.69,-,-,-,-,-,-,27,PC,1,125.0,Cash
5104,,,4122011955,0,12/07/2022,315,,Snack Bonchiili,130,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,130.0,Cash
5105,,,4122011956,0,12/07/2022,285,0801,Frubee Black Raisins 250 gm,157.16,2.5%,3.92,2.5%,3.92,-,-,-,-,-,-,27,PC,1,165.0,Cash
5106,,,4122011956,0,12/07/2022,285,,Dilly Wafer Roll,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,60.0,Cash
5107,,,4122011957,0,12/07/2022,925,,Canapeas,90,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,90.0,Cash
5108,,,4122011957,0,12/07/2022,925,0710,Amul Processed Cheese 8 Chiplets 200 Gms,108.94,6.0%,6.53,6.0%,6.53,-,-,-,-,-,-,27,PC,1,122.0,Cash
5109,,,4122011957,0,12/07/2022,925,1102,24 Mantra Organic Idly Rava 500G,104.78,2.5%,2.61,2.5%,2.61,-,-,-,-,-,-,27,PC,2,55.0,Cash
5110,,,4122011957,0,12/07/2022,925,,Pro nature puffed rice,90,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,45.0,Cash
5111,,,4122011957,0,12/07/2022,925,2106,Snapin Pizza Mix 50g,70.54,6.0%,4.23,6.0%,4.23,-,-,-,-,-,-,27,PC,1,79.0,Cash
5112,,,4122011957,0,12/07/2022,925,2103,Keya Maxican Seasoning,97.34,6.0%,5.83,6.0%,5.83,-,-,-,-,-,-,27,PC,1,109.0,Cash
5113,,,4122011957,0,12/07/2022,925,7102100,SPT Frozen Green Peas 500 gm,120.54,6.0%,7.23,6.0%,7.23,-,-,-,-,-,-,27,PC,1,135.0,Cash
5114,,,4122011957,0,12/07/2022,925,19059030,Makhana Walas Roasted Cheesy Italiana 80Gm,116.08,6.0%,6.96,6.0%,6.96,-,-,-,-,-,-,27,PC,1,130.0,Cash
5115,,,4122011957,0,12/07/2022,925,,Dilly Waffer Rolls,60,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,60.0,Cash
5116,,,4122011958,0,12/07/2022,690,1806,Ferraro Rocher 16T 200G,466.12,9.0%,41.94,9.0%,41.94,-,-,-,-,-,-,27,PC,1,550.0,Cash
5117,,,4122011958,0,12/07/2022,690,,Hersheys kisses Milk Chocolate 108gm,118.66,9.0%,10.67,9.0%,10.67,-,-,-,-,-,-,27,PC,1,140.0,Cash
5118,,,4122011959,0,12/07/2022,160,2007,M&m Peanuts Candy 45g,135.6,9.0%,12.2,9.0%,12.2,-,-,-,-,-,-,27,PC,2,80.0,Cash
5119,,,4122011960,0,12/07/2022,177,1806,Dukes 3*150 Gm Plpch Cream Combi[Strwb+Pine+Choco]+Save Rs31,150,9.0%,13.5,9.0%,13.5,-,-,-,-,-,-,27,PC,3,59.0,Cash
5120,,,4122011961,0,12/07/2022,50,2106,Lite N Fit Manchurian Stik 200 gm,47.62,2.5%,1.19,2.5%,1.19,-,-,-,-,-,-,27,PC,1,50.0,Cash
5121,,,4122011962,0,12/07/2022,324,1902,Koka Instant Laksa Singapura Nodles 85Gm,49.12,6.0%,2.94,6.0%,2.94,-,-,-,-,-,-,27,PC,1,55.0,Cash
5122,,,4122011962,0,12/07/2022,324,,Nissin Hot n Spicy Korean Chiken,49,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,49.0,Cash
5123,,,4122011962,0,12/07/2022,324,,Nori Sheet,220,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,220.0,Cash
5124,,,4122011963,0,12/07/2022,530,,Maggi  Stock,100,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,4,25.0,Cash
5125,,,4122011963,0,12/07/2022,530,,Oreo Double Cream,140,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,140.0,Cash
5126,,,4122011963,0,12/07/2022,530,20081990,Tong Garden Party Snack 40 gm,80.36,6.0%,4.82,6.0%,4.82,-,-,-,-,-,-,27,PC,3,30.0,Cash
5127,,,4122011963,0,12/07/2022,530,,Hershey's strawberry milk shake,62.5,6.0%,3.75,6.0%,3.75,-,-,-,-,-,-,27,PC,2,35.0,Cash
5128,,,4122011963,0,12/07/2022,530,1004,Bagrrys Oats For Atta Box 500G,123.82,2.5%,3.09,2.5%,3.09,-,-,-,-,-,-,27,PC,1,130.0,Cash
5129,,,4122011964,0,12/07/2022,51,,Dilly Waffer Rolls,51,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,60.0,Cash
5130,,,4122011965,0,12/07/2022,120,22029920,Mogu Mogu Orange Fav 300 Ml,62.5,6.0%,3.75,6.0%,3.75,-,-,-,-,-,-,27,PC,1,70.0,Cash
5131,,,4122011965,0,12/07/2022,120,1806,Snickers Chocolate 25Gm,16.96,9.0%,1.52,9.0%,1.52,-,-,-,-,-,-,27,PC,1,20.0,Cash
5132,,,4122011965,0,12/07/2022,120,,Ever green Snacks,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5133,,,4122011966,0,12/07/2022,70,,Ever Green Cheese Ball 100 Gm,35.72,6.0%,2.14,6.0%,2.14,-,-,-,-,-,-,27,PC,1,40.0,Cash
5134,,,4122011966,0,12/07/2022,70,909,Ever Green Tomato Ball 100 Gm,26.8,6.0%,1.6,6.0%,1.6,-,-,-,-,-,-,27,PC,1,30.0,Cash
5135,,,4122011967,0,12/07/2022,295,1806,Amul Dark Chocolate 150 Gms,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,1,100.0,Cash
5136,,,4122011967,0,12/07/2022,295,1806,Amul Belgian,127.12,9.0%,11.44,9.0%,11.44,-,-,-,-,-,-,27,PC,1,150.0,Cash
5137,,,4122011967,0,12/07/2022,295,09103030,Pro Nature Organic Turmeric Powder 100Gm,42.86,2.5%,1.07,2.5%,1.07,-,-,-,-,-,-,27,PC,1,45.0,Cash
5138,,Dunzo,4122011968,0,12/07/2022,1375,2301,Continental Xtra Coffee Powder 200G Jar,711.88,9.0%,64.06,9.0%,64.06,-,-,-,-,-,-,27,PC,3,280.0,Cash
5139,,Dunzo,4122011968,0,12/07/2022,1375,,HARIMA ROCK SALT  200GM,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5140,,Dunzo,4122011968,0,12/07/2022,1375,,Milky Misti milk,68,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,68.0,Cash
5141,,Dunzo,4122011968,0,12/07/2022,1375,0403,Milky Mist Farm Fresh Curd 1 Kg,111.62,6.0%,6.69,6.0%,6.69,-,-,-,-,-,-,27,PC,1,125.0,Cash
5142,,Dunzo,4122011968,0,12/07/2022,1375,1101,24Mantra Wheat Dhaliya 500G,48,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,48.0,Cash
5143,,Dunzo,4122011968,0,12/07/2022,1375,1102,Pro Nature Organic Ragi Flour 500 Gms,72.4,2.5%,1.8,2.5%,1.8,-,-,-,-,-,-,27,PC,1,76.0,Cash
5144,,Dunzo,4122011968,0,12/07/2022,1375,1903,Pro Nature Kodo Millet 500 Gm.,87.62,2.5%,2.19,2.5%,2.19,-,-,-,-,-,-,27,PC,1,92.0,Cash
5145,,Dunzo,4122011968,0,12/07/2022,1375,,Urja Eggs  Table 12 N,96,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,96.0,Cash
5146,,,4122011969,0,12/07/2022,405,9609, Meatzza Chicken Sausages 1kg,361.62,6.0%,21.69,6.0%,21.69,-,-,-,-,-,-,27,PC,1,405.0,Cash
5147,,,4122011970,0,12/07/2022,10,,roll cuts,10,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
5148,,,4122011971,0,12/07/2022,120,,Fruit & Vegetables,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
5149,,,4122011972,0,12/07/2022,65,220210,Mogu Mogu Mango Juice 300 Ml,58.04,6.0%,3.48,6.0%,3.48,-,-,-,-,-,-,27,PC,1,65.0,Cash
5150,,Dunzo,4122011973,0,12/07/2022,370,,Shreenath Salad Mix Bag,100,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,100.0,Cash
5151,,Dunzo,4122011973,0,12/07/2022,370,2301,Zorabian Chicken Precut 500gm,160,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,160.0,Cash
5152,,Dunzo,4122011973,0,12/07/2022,370,0403,Milky Mist Farm Fresh Curd 200 Gms,53.58,6.0%,3.21,6.0%,3.21,-,-,-,-,-,-,27,PC,2,30.0,Cash
5153,,Dunzo,4122011973,0,12/07/2022,370,,cucumber green 500gm,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
5154,,Dunzo,4122011973,0,12/07/2022,370,,Tomato,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5155,,,4122011974,0,12/07/2022,1560,, Carry Bag Small,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5156,,,4122011974,0,12/07/2022,1560,17049090,Impact Blaccrrant Mint,107.16,6.0%,6.42,6.0%,6.42,-,-,-,-,-,-,27,PC,1,120.0,Cash
5157,,,4122011974,0,12/07/2022,1560,1704,Impact Orange Mint,107.16,6.0%,6.42,6.0%,6.42,-,-,-,-,-,-,27,PC,1,120.0,Cash
5158,,,4122011974,0,12/07/2022,1560,,Mints Pact Cola,240,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,120.0,Cash
5159,,,4122011974,0,12/07/2022,1560,0910,Al Ameera Tahina Made From Pure Sesame Seeds 400G,333.34,2.5%,8.33,2.5%,8.33,-,-,-,-,-,-,27,PC,1,350.0,Cash
5160,,,4122011974,0,12/07/2022,1560,2103,Pantai Dark Soy Sauce,275,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,275.0,Cash
5161,,,4122011974,0,12/07/2022,1560,,WOH HUP LIGHT SOY SAUCE 740 GMS,230,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,230.0,Cash
5162,,,4122011974,0,12/07/2022,1560,2103,Chings Secret Green Chilli Sauce 190 Gms,49.12,6.0%,2.94,6.0%,2.94,-,-,-,-,-,-,27,PC,1,55.0,Cash
5163,,,4122011974,0,12/07/2022,1560,220210,Coca Cola 250Ml,16.96,9.0%,1.52,9.0%,1.52,-,-,-,-,-,-,27,PC,1,20.0,Cash
5164,,,4122011974,0,12/07/2022,1560,,coca cola vanilla,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
5165,,,4122011975,0,12/07/2022,474,,Monster,199,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,199.0,Cash
5166,,,4122011975,0,12/07/2022,474,18069010,Zevic  chocolate Rosted Almonds 40 gm,131.36,9.0%,11.82,9.0%,11.82,-,-,-,-,-,-,27,PC,1,155.0,Cash
5167,,,4122011975,0,12/07/2022,474,,coca cola vanilla,120,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,120.0,Cash
5168,,,4122011976,0,12/07/2022,264,,Harvey's Crunch & Cream Orange Flavour,99,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,99.0,Cash
5169,,,4122011976,0,12/07/2022,264,22029030,Mogu Mogu Pinapple Juice 300Ml,58.04,6.0%,3.48,6.0%,3.48,-,-,-,-,-,-,27,PC,1,65.0,Cash
5170,,,4122011976,0,12/07/2022,264,220210,Mogu Mogu Apple Juice 300 Ml,58.04,6.0%,3.48,6.0%,3.48,-,-,-,-,-,-,27,PC,1,65.0,Cash
5171,,,4122011976,0,12/07/2022,264,210690,Cornitos Nacho Crisps - Sizzlin Jalapeno 60 Gm Pouch,31.26,6.0%,1.87,6.0%,1.87,-,-,-,-,-,-,27,PC,1,35.0,Cash
5172,,,4122011977,0,12/07/2022,1246,,pop corn,89,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,89.0,Cash
5173,,,4122011977,0,12/07/2022,1246,,soup stciks,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5174,,,4122011977,0,12/07/2022,1246,,Carry Bag,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5175,,,4122011977,0,12/07/2022,1246,1902,Borges Fusilli Whole Wheat Pasta 500G,245.54,6.0%,14.73,6.0%,14.73,-,-,-,-,-,-,27,PC,1,275.0,Cash
5176,,,4122011977,0,12/07/2022,1246,,selpack Napkin,225,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,225.0,Cash
5177,,,4122011977,0,12/07/2022,1246,,Knorr Sweet Corn Soup,55,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,55.0,Cash
5178,,,4122011977,0,12/07/2022,1246,0402,Amul Mithai Mate Condensed Milk 200G,54.48,6.0%,3.26,6.0%,3.26,-,-,-,-,-,-,27,PC,1,61.0,Cash
5179,,,4122011977,0,12/07/2022,1246,,8901595863471,10,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
5180,,,4122011977,0,12/07/2022,1246,,Chings Tomato Oats Soup,65,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,65.0,Cash
5181,,,4122011977,0,12/07/2022,1246,1004,Bagrrys White oats 200 gm,44.78,2.5%,1.11,2.5%,1.11,-,-,-,-,-,-,27,PC,1,47.0,Cash
5182,,,4122011977,0,12/07/2022,1246,0910,Pro Nature Organic Sambar Powder 100 Gms,63.56,9.0%,5.72,9.0%,5.72,-,-,-,-,-,-,27,PC,1,75.0,Cash
5183,,,4122011977,0,12/07/2022,1246,,Fiesta Chocolat Cake,130,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,130.0,Cash
5184,,,4122011977,0,12/07/2022,1246,,Veda Makhana,154,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,154.0,Cash
5185,,,4122011978,0,12/07/2022,550,2008,A&O Magic Masala Chips 250 gm,157.16,2.5%,3.92,2.5%,3.92,-,-,-,-,-,-,27,PC,1,165.0,Cash
5186,,,4122011978,0,12/07/2022,550,0402,Amul Tazza Toned Milk 200 Ml,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,15.0,Cash
5187,,,4122011978,0,12/07/2022,550,210690,Ramjee Corn Crackers 80 gm,23.82,2.5%,0.59,2.5%,0.59,-,-,-,-,-,-,27,PC,1,25.0,Cash
5188,,,4122011978,0,12/07/2022,550,,Prasuma Cheesy Spicy Veg Momos,285.72,6.0%,17.14,6.0%,17.14,-,-,-,-,-,-,27,PC,1,320.0,Cash
5189,,,4122011978,0,12/07/2022,550,,alpenliebe,10,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
5190,,,4122011979,0,12/07/2022,60,1902,Wai Wai [Insndl] 6*75Gm Pph X-Press Instnodl Masala Delight+Rs-10 Save,50.86,9.0%,4.57,9.0%,4.57,-,-,-,-,-,-,27,PC,1,60.0,Cash
5191,,,4122011980,0,12/07/2022,10,,alpenliebe,10,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
5192,,,4122011981,0,12/07/2022,375,220210,Coca Cola Coke Diet 300 Ml Tin,28.6,14.0%,3.99,14.0%,3.99,-,-,12.0%,3.42,-,-,27,PC,1,40.0,Cash
5193,,,4122011981,0,12/07/2022,375,2007,Veeba Peanut  Butter Crunchy 925 Gm,254.48,6.0%,15.26,6.0%,15.26,-,-,-,-,-,-,27,PC,1,285.0,Cash
5194,,,4122011981,0,12/07/2022,375,,Cold coffee,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
5195,,,4122011982,0,12/07/2022,220,,Pocky,220,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,110.0,Cash
5196,,,4122011983,0,12/07/2022,10,,Magic Pops,10,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,10.0,Cash
5197,,,4122011984,0,13/07/2022,80,,hot dog roll jumbo,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5198,,,4122011984,0,13/07/2022,80,,D.M.Multigrain bread,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
5199,,,4122011985,0,13/07/2022,25,210690,Ramjee Corn Crackers 80 gm,23.82,2.5%,0.59,2.5%,0.59,-,-,-,-,-,-,27,PC,1,25.0,Cash
5200,,Dunzo,4122011986,0,13/07/2022,1816,,brown bread,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
5201,,Dunzo,4122011986,0,13/07/2022,1816,,Shreenath Peeled Garlic,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5202,,Dunzo,4122011986,0,13/07/2022,1816,,Shreenath Mushrooms  ,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
5203,,Dunzo,4122011986,0,13/07/2022,1816,,Samyang Cheese Hot Chicken Ramen Noodle 140 gm,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
5204,,Dunzo,4122011986,0,13/07/2022,1816,,Samvang Hot Chicken Carbo Ramen 130 gm,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
5205,,Dunzo,4122011986,0,13/07/2022,1816,,Samyang buldok kimchi Chiken Noodles,223.22,6.0%,13.39,6.0%,13.39,-,-,-,-,-,-,27,PC,2,125.0,Cash
5206,,Dunzo,4122011986,0,13/07/2022,1816,,Samyang noodles hot pepper jjajang ramen,250,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,2,125.0,Cash
5207,,Dunzo,4122011986,0,13/07/2022,1816,1704,Sumeru Five Senses Small Prawns 250 Gms,262.72,9.0%,23.64,9.0%,23.64,-,-,-,-,-,-,27,PC,1,310.0,Cash
5208,,Dunzo,4122011986,0,13/07/2022,1816,16010000, Venkys Chicken Ham 200 VM,160.72,6.0%,9.64,6.0%,9.64,-,-,-,-,-,-,27,PC,1,180.0,Cash
5209,,Dunzo,4122011986,0,13/07/2022,1816,0406,Milky Mist Cheese Slices 200 Gms,102,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,102.0,Cash
5210,,Dunzo,4122011986,0,13/07/2022,1816,,Urja Eggs  Table 12 N,94,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,94.0,Cash
5211,,,4122011987,0,13/07/2022,1055,08132000,Rostaa Golden Apricot 200 gm,294.66,6.0%,17.67,6.0%,17.67,-,-,-,-,-,-,27,PC,1,330.0,Cash
5212,,,4122011987,0,13/07/2022,1055,2017,Frubee Akbari Pista 250 gm,558.04,6.0%,33.48,6.0%,33.48,-,-,-,-,-,-,27,PC,1,625.0,Cash
5213,,,4122011987,0,13/07/2022,1055,,Cavior Swiss Crispy Dark,84.76,9.0%,7.62,9.0%,7.62,-,-,-,-,-,-,27,PC,4,25.0,Cash
5214,,,4122011988,0,13/07/2022,310,1905,Burger Bun,20,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,20.0,Cash
5215,,,4122011988,0,13/07/2022,310,1905,Hot Dog Roll,35,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,35.0,Cash
5216,,,4122011988,0,13/07/2022,310,2008,A&O Magic Masala Chips 250 gm,157.16,2.5%,3.92,2.5%,3.92,-,-,-,-,-,-,27,PC,1,165.0,Cash
5217,,,4122011988,0,13/07/2022,310,,White Pasta Mix,40,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,40.0,Cash
5218,,,4122011988,0,13/07/2022,310,2106,Lite N Fit Tomato Stik,47.62,2.5%,1.19,2.5%,1.19,-,-,-,-,-,-,27,PC,1,50.0,Cash
5219,,,4122011989,0,13/07/2022,30,,Carry Bag,30,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,30.0,Cash
5220,,,4122011990,0,13/07/2022,75,,Brown bun,25,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,25.0,Cash
5221,,,4122011990,0,13/07/2022,75,,Uraj White Eggs 6N,50,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,50.0,Cash
5222,,,4122011991,0,13/07/2022,50,2106,Lite N Fit Tomato Stik,47.62,2.5%,1.19,2.5%,1.19,-,-,-,-,-,-,27,PC,1,50.0,Cash
5223,,,4122011992,0,13/07/2022,225,,Apple Washington,225,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,225.0,Cash
5224,,,4122011993,0,13/07/2022,436,0710,Amul Processed Cheese 8 Chiplets 200 Gms,108.94,6.0%,6.53,6.0%,6.53,-,-,-,-,-,-,27,PC,1,122.0,Cash
5225,,,4122011993,0,13/07/2022,436,0406,Amul Cheese Spread Spicy Garlic 200 Gms,83.94,6.0%,5.03,6.0%,5.03,-,-,-,-,-,-,27,PC,1,94.0,Cash
5226,,,4122011993,0,13/07/2022,436,1902,Epigamia Greek Yogurt Alphonso Mango 90G,209.54,2.5%,5.23,2.5%,5.23,-,-,-,-,-,-,27,PC,4,55.0,Cash
5227,,,4122011994,0,13/07/2022,300,,Pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
5228,,,4122011994,0,13/07/2022,300,,Pocky,110,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,110.0,Cash
5229,,,4122011994,0,13/07/2022,300,22029030,Raw Pressery 100% Natural Sugarcane Cold Pressed Juice 250Ml,71.41,6.0%,4.27,6.0%,4.27,-,-,-,-,0.075%,0.05,27,PC,1,80.0,Cash
5230,,,4122011995,0,13/07/2022,20,220210,Kinley 750Ml,16.96,9.0%,1.52,9.0%,1.52,-,-,-,-,-,-,27,PC,1,20.0,Cash
