Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
53,,,4122010487,0,01/07/2022,1787.50,, Kerala Plain Banana Chips 225 VM,314.30,2.5%,7.85,2.5%,7.85,-,-,-,-,-,-,27,PC,2,165.0,Cash
54,,,4122010487,0,01/07/2022,1787.50,2008, Kerala Cheese Onion Banana Chips 250 gm,314.30,2.5%,7.85,2.5%,7.85,-,-,-,-,-,-,27,PC,2,165.0,Cash
55,,,4122010487,0,01/07/2022,1787.50,1806,Lindt Excellence sea salt  100gm,677.98,9.0%,61.01,9.0%,61.01,-,-,-,-,-,-,27,PC,2,400.0,Cash
56,,,4122010487,0,01/07/2022,1787.50,1902,ChefS Basket Durum Wheat Pasta - Penne 500 Gm,234.38,6.0%,14.06,6.0%,14.06,-,-,-,-,-,-,27,PC,3,87.5,Cash
57,,,4122010488,0,01/07/2022,180.00,,Shreenath Basil Italian  ,20.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,20.0,Cash
58,,,4122010488,0,01/07/2022,180.00,,Lips,40.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,40.0,Cash
59,,,4122010488,0,01/07/2022,180.00,,Waffle Mill Waffle Chips,101.70,9.0%,9.15,9.0%,9.15,-,-,-,-,-,-,27,PC,1,120.0,Cash
60,,Dunzo,4122010489,0,01/07/2022,280.00,2009,Zorabian Chicken Precut 900gm,280.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,280.0,Cash
61,,,4122010490,0,01/07/2022,90.00,,Brooksite Guava 30gm,50.86,9.0%,4.57,9.0%,4.57,-,-,-,-,-,-,27,PC,1,60.0,Cash
62,,,4122010490,0,01/07/2022,90.00,,Snickers Butterscotch,25.44,9.0%,2.28,9.0%,2.28,-,-,-,-,-,-,27,PC,1,30.0,Cash
63,,,4122010491,0,01/07/2022,829.00,,kerla tapicoa,65.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,65.0,Cash
64,,,4122010491,0,01/07/2022,829.00,,kerala,85.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,85.0,Cash
65,,,4122010491,0,01/07/2022,829.00,0405,Amul Pasteurised Butter 100 And,46.44,6.0%,2.78,6.0%,2.78,-,-,-,-,-,-,27,PC,1,52.0,Cash
66,,,4122010491,0,01/07/2022,829.00,2103,Yummiez Veg Pizza Pockets Tray 340gm,174.12,6.0%,10.44,6.0%,10.44,-,-,-,-,-,-,27,PC,1,195.0,Cash
67,,,4122010491,0,01/07/2022,829.00,0406,Milky Mist Paneer 200 Gms,101.92,2.5%,2.54,2.5%,2.54,-,-,-,-,-,-,27,PC,1,107.0,Cash
68,,,4122010491,0,01/07/2022,829.00,0406,Milky Mist Cheese Slices 200 Gms,150.00,0.0%,0.00,0.0%,0.00,-,-,-,-,-,-,27,PC,1,150.0,Cash
69,,,4122010491,0,01/07/2022,829.00,0710,Mccain Tandoori Vege Nuggets 325 Gms,116.08,6.0%,6.96,6.0%,6.96,-,-,-,-,-,-,27,PC,1,130.0,Cash
70,,,4122010491,0,01/07/2022,829.00,,Dilly,45,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,45.0,Cash
71,,,4122010492,0,01/07/2022,710,19059030,Pringles Potato Chips Jalapeno 158gm,194.92,9.0%,17.54,9.0%,17.54,-,-,-,-,-,-,27,PC,1,230.0,Cash
72,,,4122010492,0,01/07/2022,710,,Flake Dip,100,0.0%,0,0.0%,0,-,-,-,-,-,-,27,PC,1,100.0,Cash
73,,,4122010492,0,01/07/2022,710,2103,Ching'S Schezwan Sauce 250Gms,75.9,6.0%,4.55,6.0%,4.55,-,-,-,-,-,-,27,PC,1,85.0,Cash
