,,,,,,,,,,,SalesReport,,,,,,,,,,,,,
,,,No of Invoices,,No of Recipients for Invoices,Total Invoice Value,,,Total Taxable Value for Invoices,,Total SGST/UTGST for Invoices,,Total CGST for Invoices,,Total IGST for Invoices,,Total CESS for Invoices,,Total Additional CESS for Invoices,,,,,
,,,2517,,3,1033947.87,,,964198.06,,34610.81,,34610.81,,0,,528.04,,0.15,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,No of Memo,,No of Recipient for Memo,Total Memo Value,,,Total Taxable Val for Memo,,Total SGST/UTGST for Memo,,Total CGST for Memo,,Total IGST for Memo,,Total CESS for Memo,,Total Additional CESS for Memo,,,,,
,,,0,,0,0,,,0,,0,,0,,0,,0,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
39,,,4121022488,0,01-02-2022,1934,,Paan Smith Jeera Goli 250 Gm,116.08,6.00%,6.96,6.00%,6.96,-,-,-,-,-,-,27,PC,1,130,Cash
40,,,4121022488,0,01-02-2022,1934,,Habenero Peri Peri Sauce 200gm,179,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,179,Cash
41,,,4121022488,0,01-02-2022,1934,,Trelish Filter Coffee Box Of 7,85.72,2.50%,2.14,2.50%,2.14,-,-,-,-,-,-,27,PC,1,90,Cash
42,,,4121022488,0,01-02-2022,1934,,Trelish Vanilla Coffee,110,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,110,Cash
43,,,4121022488,0,01-02-2022,1934,19053290,Gery Sugar Cheese Cracers 110 gm,50.86,9.00%,4.57,9.00%,4.57,-,-,-,-,-,-,27,PC,1,60,Cash
44,,,4121022488,0,01-02-2022,1934,,Creem Crackers,160,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,160,Cash
45,,,4121022489,0,01-02-2022,220,,Bakers Whipping Cream,186.46,9.00%,16.77,9.00%,16.77,-,-,-,-,-,-,27,PC,1,220,Cash
46,,,4121022490,0,01-02-2022,135,,London dairy sorbet mango,135,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,135,Cash
47,,Dunzo,4121022491,0,01-02-2022,506,,american garden ceaser dressing,270,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,270,Cash
48,,Dunzo,4121022491,0,01-02-2022,506,,Shreenath Iceberg Lettuce ,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
49,,Dunzo,4121022491,0,01-02-2022,506,21039030,Cremica Thousand Island 275G,77.68,6.00%,4.66,6.00%,4.66,-,-,-,-,-,-,27,PC,1,87,Cash
50,,Dunzo,4121022491,0,01-02-2022,506,34029049,Veeba Vinaigrette Salad Sauce 320 Gm,106.26,6.00%,6.37,6.00%,6.37,-,-,-,-,-,-,27,PC,1,119,Cash
51,,Dunzo,4121022492,0,01-02-2022,160,18069010,SE Didier & Frank 75% Dark Chocolate 50Gm,135.6,9.00%,12.2,9.00%,12.2,-,-,-,-,-,-,27,PC,1,160,Cash
52,,Dunzo,4121022493,0,01-02-2022,185,,toblerone,185,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,185,Cash
53,,,4121022494,0,01-02-2022,100,,Potato Biscut,100,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,4,25,Cash
54,,,4121022495,0,01-02-2022,335,,Potato Bite ,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,120,Cash
55,,,4121022495,0,01-02-2022,335,,Deli Sun Spinach Tortilla Wrap,204.78,2.50%,5.11,2.50%,5.11,-,-,-,-,-,-,27,PC,1,215,Cash
56,,Dunzo,4121022496,0,01-02-2022,278,,Shreenath Iceberg Lettuce ,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
57,,Dunzo,4121022496,0,01-02-2022,278,406,Milky Mist Cheese Slices 100 Gms,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
58,,Dunzo,4121022496,0,01-02-2022,278,,Fiesta Burger Bun,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,25,Cash
59,,Dunzo,4121022496,0,01-02-2022,278,2103,Veeba Sweet Chilli Sauce 350 gm,106.26,6.00%,6.37,6.00%,6.37,-,-,-,-,-,-,27,PC,1,119,Cash
60,,,4121022497,0,01-02-2022,44.5,19053100,Dukes Wafers - Waffy (Chocolate Flavor) 75 Gm Pouch,18.66,9.00%,1.67,9.00%,1.67,-,-,-,-,-,-,27,PC,1,22,Cash
